"CustNo";"CliLbl";"TypCli";"Ville";"Secteur";"Dt1erAchat"
"C0001";"Claire BERNARD";"Particulier";"Montpellier";"Sud-Ouest";"20-02-2020"
"C0002";"Ste DUBOIS";"Entreprise";"Pau";"Nord-Est";"10-05-2021"
"C0003";"Ville de Paris";"Collectivité";"Paris";"Nord-Ouest";"03-03-2022"
"C0004";"Léa RICHARD";"Particulier";"Nancy";"Nord-Ouest";"30-10-2020"
"C0005";"Club sportif Nantes";"Club";"Nantes";"Nord-Est";"21-06-2019"
"C0006";"Club sportif Chamonix";"Club";"Chamonix";"Nord-Ouest";"27-07-2020"
"C0007";"Julien LEFEBVRE";"Particulier";"Paris";"Sud-Est";"29-11-2020"
"C0008";"Club sportif Nantes";"Club";"Nantes";"Sud-Est";"29-04-2021"
"C0009";"Ville de Rouen";"Collectivité";"Rouen";"Sud-Est";"14-05-2020"
"C0010";"Émilie DAVID";"Particulier";"Bordeaux";"Nord-Ouest";"21-12-2020"
"C0011";"Lucas BERTRAND";"Particulier";"Strasbourg";"Sud-Ouest";"01-03-2021"
"C0012";"Chloé ROUX";"Particulier";"Clermont-Ferrand";"Sud-Est";"26-06-2019"
"C0013";"Maxime SIMON";"Particulier";"Pau";"Nord-Est";"21-02-2019"
"C0014";"Manon MICHEL";"Particulier";"Nancy";"Sud-Ouest";"07-09-2020"
"C0015";"Hugo LEROY";"Particulier";"Dijon";"Nord-Est";"03-11-2023"
"C0016";"Julie MARTIN";"Particulier";"Limoges";"Sud-Est";"28-04-2022"
"C0017";"Pierre BERNARD";"Particulier";"Paris";"Sud-Est";"22-03-2022"
"C0018";"Laura DUBOIS";"Particulier";"Paris";"Nord-Est";"09-10-2021"
"C0019";"Rémi ROBERT";"Particulier";"Bayonne";"Sud-Ouest";"09-10-2020"
"C0020";"Jean RICHARD";"Particulier";"Bayonne";"Nord-Est";"06-07-2021"
"C0021";"Claire PETIT";"Particulier";"Reims";"Nord-Est";"14-11-2023"
"C0022";"Marie DURAND";"Particulier";"Rouen";"Nord-Ouest";"05-05-2019"
"C0023";"Club sportif Nantes";"Club";"Nantes";"Nord-Est";"02-09-2022"
"C0024";"Léa MOREAU";"Particulier";"Bordeaux";"Nord-Ouest";"23-03-2021"
"C0025";"Club sportif Nice";"Club";"Nice";"Nord-Est";"21-06-2020"
"C0026";"Ste DAVID";"Entreprise";"Marseille";"Sud-Ouest";"05-12-2020"
"C0027";"Club sportif Montpellier";"Club";"Montpellier";"Sud-Ouest";"30-12-2020"
"C0028";"Ville de Strasbourg";"Collectivité";"Strasbourg";"Nord-Ouest";"29-03-2021"
"C0029";"Antoine SIMON";"Particulier";"Tours";"Sud-Est";"08-07-2021"
"C0030";"Émilie MICHEL";"Particulier";"Limoges";"Île-de-France";"07-03-2022"
"C0031";"Lucas LEROY";"Particulier";"Reims";"Sud-Ouest";"26-09-2023"
"C0032";"Ste MARTIN";"Entreprise";"Nantes";"Île-de-France";"09-02-2023"
"C0033";"Maxime BERNARD";"Particulier";"Montpellier";"Sud-Est";"27-09-2023"
"C0034";"Manon DUBOIS";"Particulier";"Pau";"Sud-Est";"29-03-2019"
"C0035";"Club sportif Rouen";"Club";"Rouen";"Nord-Ouest";"14-10-2022"
"C0036";"Club sportif Nancy";"Club";"Nancy";"Nord-Est";"27-10-2020"
"C0037";"Pierre PETIT";"Particulier";"Reims";"Nord-Ouest";"07-12-2020"
"C0038";"Laura DURAND";"Particulier";"Bayonne";"Sud-Est";"06-01-2019"
"C0039";"Club sportif Clermont-Ferrand";"Club";"Clermont-Ferrand";"Sud-Est";"05-04-2020"
"C0040";"Jean MOREAU";"Particulier";"Nancy";"Île-de-France";"16-01-2021"
"C0041";"Claire GARCIA";"Particulier";"Lyon";"Sud-Ouest";"07-06-2021"
"C0042";"Club sportif Bordeaux";"Club";"Bordeaux";"Sud-Ouest";"11-05-2022"
"C0043";"Thomas BERTRAND";"Particulier";"Limoges";"Sud-Est";"09-01-2019"
"C0044";"Léa ROUX";"Particulier";"Rouen";"Sud-Ouest";"20-09-2022"
"C0045";"Nicolas SIMON";"Particulier";"Montpellier";"Sud-Ouest";"14-08-2020"
"C0046";"Sophie MICHEL";"Particulier";"Lyon";"Nord-Ouest";"24-07-2022"
"C0047";"Club sportif Reims";"Club";"Reims";"Nord-Est";"19-08-2019"
"C0048";"Camille MARTIN";"Particulier";"Lille";"Sud-Est";"22-04-2023"
"C0049";"Antoine BERNARD";"Particulier";"Pau";"Sud-Est";"28-11-2021"
"C0050";"Ville de Reims";"Collectivité";"Reims";"Île-de-France";"10-02-2023"
"C0051";"Club sportif Reims";"Club";"Reims";"Nord-Ouest";"27-08-2022"
"C0052";"Chloé RICHARD";"Particulier";"Bayonne";"Île-de-France";"24-07-2019"
"C0053";"Maxime PETIT";"Particulier";"Paris";"Sud-Est";"27-03-2023"
"C0054";"Manon DURAND";"Particulier";"Marseille";"Nord-Ouest";"07-08-2023"
"C0055";"Club sportif Nice";"Club";"Nice";"Sud-Est";"28-01-2020"
"C0056";"Julie MOREAU";"Particulier";"Tours";"Île-de-France";"07-04-2022"
"C0057";"Pierre GARCIA";"Particulier";"Nancy";"Sud-Ouest";"13-04-2022"
"C0058";"Ste DAVID";"Entreprise";"Rennes";"Sud-Est";"14-06-2023"
"C0059";"Ste BERTRAND";"Entreprise";"Annecy";"Île-de-France";"21-05-2021"
"C0060";"Club sportif Reims";"Club";"Reims";"Sud-Est";"06-09-2023"
"C0061";"Claire SIMON";"Particulier";"Grenoble";"Île-de-France";"14-02-2020"
"C0062";"Marie MICHEL";"Particulier";"Nancy";"Sud-Ouest";"12-03-2019"
"C0063";"Thomas LEROY";"Particulier";"Pau";"Sud-Ouest";"07-12-2022"
"C0064";"Club sportif Nantes";"Club";"Nantes";"Sud-Est";"23-06-2019"
"C0065";"Nicolas BERNARD";"Particulier";"Tours";"Sud-Est";"08-10-2019"
"C0066";"Ville de Metz";"Collectivité";"Metz";"Nord-Ouest";"21-02-2020"
"C0067";"Julien ROBERT";"Particulier";"Metz";"Sud-Ouest";"09-01-2019"
"C0068";"Camille RICHARD";"Particulier";"Metz";"Nord-Est";"07-10-2019"
"C0069";"Antoine PETIT";"Particulier";"Metz";"Nord-Est";"18-01-2019"
"C0070";"Émilie DURAND";"Particulier";"Nantes";"Nord-Est";"15-07-2019"
"C0071";"Lucas LEFEBVRE";"Particulier";"Bayonne";"Nord-Est";"10-06-2019"
"C0072";"Chloé MOREAU";"Particulier";"Chamonix";"Nord-Est";"24-01-2022"
"C0073";"Maxime GARCIA";"Particulier";"Strasbourg";"Île-de-France";"21-04-2019"
"C0074";"Ste DAVID";"Entreprise";"Clermont-Ferrand";"Sud-Ouest";"28-03-2020"
"C0075";"Ste BERTRAND";"Entreprise";"Nantes";"Nord-Est";"07-12-2022"
"C0076";"Ville de Pau";"Collectivité";"Pau";"Île-de-France";"07-02-2022"
"C0077";"Pierre SIMON";"Particulier";"Rouen";"Nord-Ouest";"10-12-2023"
"C0078";"Laura MICHEL";"Particulier";"Limoges";"Sud-Ouest";"03-10-2022"
"C0079";"Rémi LEROY";"Particulier";"Reims";"Nord-Est";"23-11-2019"
